ogfId;municipalType;municipalName;municipalAreaExtentType;municipalNamePrefix;municipalNameShortform;upperTierMunicipality;geometry
319586095;Lower Tier Municipality;CITY OF WATERLOO;Mainland;CITY OF;WATERLOO;REGIONAL MUNICIPALITY OF WATERLOO;POLYGON ((-80.47939631885964 43.504231607305314, -80.49135212243448 43.50194860633332, -80.49319042314231 43.503348006490135, -80.49531952442918 43.5101331075751, -80.49409062423628 43.51229750801252, -80.48744532222385 43.51328550850369, -80.48398152137935 43.51606120915515, -80.47112641733582 43.51631320981486, -80.46797571647826 43.5178517102348, -80.46792161672977 43.52082291075709, -80.47689431997927 43.52536651112199, -80.48066322170115 43.53121851196465, -80.62609406300471 43.47965919596883, -80.57357724212599 43.43223549018835, -80.54697683455025 43.441406693069666, -80.54519233422552 43.44405719361942, -80.5409963328511 43.44351799372596, -80.54253733354935 43.44586069406259, -80.53984433278644 43.446835894362366, -80.54178183354969 43.448509594562765, -80.50092682197798 43.463366799121154, -80.50184972238668 43.464662799303916, -80.4985087214754 43.46626919974516, -80.50124002256901 43.46882040006123, -80.49555552096105 43.470916000700235, -80.49621942137189 43.473142901058445, -80.49229002032872 43.475349601632885, -80.49601312164098 43.476847201716886, -80.49805072263518 43.48072370229798, -80.48714071932304 43.48224640308681, -80.48900242013602 43.48473090343262, -80.48418011867915 43.485483803795255, -80.48114341805987 43.48926070460171, -80.48106001903011 43.500295106536896, -80.47802311817578 43.5014698068878, -80.47939631885964 43.504231607305314))
319585812;Lower Tier Municipality;TOWNSHIP OF WELLESLEY;Mainland;TOWNSHIP OF;WELLESLEY;REGIONAL MUNICIPALITY OF WATERLOO;POLYGON ((-80.60811336726319 43.58898491592643, -80.75458131901894 43.64842691919619, -80.83807363560342 43.541804896585006, -80.86902554136434 43.498055987455096, -80.7956055154674 43.468087685775956, -80.62615926303161 43.479728895977864, -80.60811336726319 43.58898491592643))
319585962;Lower Tier Municipality;CITY OF KITCHENER;Mainland;CITY OF;KITCHENER;REGIONAL MUNICIPALITY OF WATERLOO;POLYGON ((-80.39215468640529 43.45027920202314, -80.39240628668072 43.45245960239344, -80.3955342879204 43.45524500273264, -80.41107579299316 43.45699220229767, -80.4203297962931 43.46114080258321, -80.4272344993832 43.47121080401811, -80.42238989841621 43.47748960534945, -80.42415219929359 43.48104170588747, -80.43317780224385 43.482099805641646, -80.44183700463239 43.47821190454696, -80.44977180701554 43.47680960392215, -80.45450230855707 43.47731410378436, -80.4581569102044 43.48276560456428, -80.46274161187965 43.48526330478234, -80.46856271370028 43.48503850446454, -80.47295741548444 43.489407805019184, -80.4730493158285 43.49289740562564, -80.46447341384348 43.50095250744578, -80.46661761496172 43.50582470819577, -80.47191991672896 43.50682200811647, -80.47939631885964 43.504231607305314, -80.47802311817578 43.5014698068878, -80.48106001903011 43.500295106536896, -80.48098341803401 43.489534704657316, -80.48418011867915 43.485483803795255, -80.48900242013602 43.48473090343262, -80.48714071932304 43.48224640308681, -80.49805072263518 43.48072370229798, -80.49601312164098 43.476847201716886, -80.49229002032872 43.475349601632885, -80.49621942137189 43.473142901058445, -80.49555552096105 43.470916000700235, -80.50124002256901 43.46882040006123, -80.4985087214754 43.46626919974516, -80.50184972238668 43.464662799303916, -80.50092682197798 43.463366799121154, -80.54178183354969 43.448509594562765, -80.53984433278644 43.446835894362366, -80.54253733354935 43.44586069406259, -80.5409963328511 43.44351799372596, -80.54519233422552 43.44405719361942, -80.54697683455025 43.441406693069666, -80.57357724212599 43.43223549018835, -80.51654701943963 43.380321983813495, -80.50595591372156 43.35386587967345, -80.4138008860393 43.36983668687161, -80.4026599841667 43.38826269063902, -80.37905517795065 43.40218849420828, -80.38309888010886 43.4120116957405, -80.40298868675606 43.41600719549459, -80.41041958963959 43.42196159618534, -80.40319428748087 43.423364896775965, -80.40192008735526 43.42645569737899, -80.40268308784205 43.429192597822805, -80.40945849039628 43.43377939830445, -80.40990089085126 43.437288898898906, -80.39364228662141 43.447446401455444, -80.39215468640529 43.45027920202314))
319585834;Lower Tier Municipality;CITY OF CAMBRIDGE;Mainland;CITY OF;CAMBRIDGE;REGIONAL MUNICIPALITY OF WATERLOO;POLYGON ((-80.30275535977201 43.46872110951383, -80.30792566190127 43.47421461023125, -80.34146457133451 43.46104240632537, -80.35351917496116 43.45895030538455, -80.35825727611478 43.45510040448373, -80.37288298036815 43.45093610305673, -80.37871128184618 43.44686190206451, -80.3877902844261 43.4436108010617, -80.39215468640529 43.45027920202314, -80.39364228662141 43.447446401455444, -80.40909159067783 43.43820769909868, -80.40953459043087 43.43389679832144, -80.40268308784205 43.429192597822805, -80.40192008735526 43.42645569737899, -80.40319428748087 43.423364896775965, -80.41041958963959 43.42196159618534, -80.40949648919378 43.42024599592834, -80.40265998664267 43.41590199549178, -80.38309888010886 43.4120116957405, -80.37905517795065 43.40218849420828, -80.4026599841667 43.38826269063902, -80.4138008860393 43.36983668687161, -80.36747017212514 43.37800579051105, -80.36944167318725 43.382915991280214, -80.37733057570968 43.3832337909609, -80.37780397613133 43.386275291472735, -80.37566007554506 43.38729919175455, -80.36074407057828 43.38449299197082, -80.34649276620809 43.38601519291557, -80.34228126469768 43.38401459276412, -80.34029786358464 43.378573491902024, -80.33700166233452 43.37624479164923, -80.34961266611742 43.37395339064745, -80.34357856289182 43.359183188337106, -80.34988796475515 43.357711087778625, -80.34767546356565 43.35221458691697, -80.34229666195084 43.353174287341055, -80.34171696142901 43.34937558670036, -80.3430287618247 43.34916258660066, -80.34023345997431 43.338310384823956, -80.33362975752756 43.33427328442674, -80.32204055370951 43.332534784670294, -80.28931804385068 43.33800438718372, -80.27162503824606 43.337893188001935, -80.26577363665191 43.34077768878676, -80.26318703616047 43.34445278955621, -80.25135413206849 43.34051768942337, -80.30275535977201 43.46872110951383))
319585805;Lower Tier Municipality;TOWNSHIP OF WOOLWICH;Mainland;TOWNSHIP OF;WOOLWICH;REGIONAL MUNICIPALITY OF WATERLOO;POLYGON ((-80.4100420040463 43.58308782441119, -80.55752876045491 43.68961533589149, -80.59554036992814 43.66166422919395, -80.62616086303126 43.47971919597606, -80.48066322170115 43.53121851196465, -80.47865652068488 43.52700421132394, -80.4695470173823 43.52235221094673, -80.46760171642 43.51851641036901, -80.47112641733582 43.51631320981486, -80.48398152137935 43.51606120915515, -80.48744532222385 43.51328550850369, -80.49409062423628 43.51229750801252, -80.49504502418347 43.508376107280924, -80.49220662273434 43.50227650634977, -80.48479112042155 43.50263510676768, -80.47191991672896 43.50682200811647, -80.46661761496172 43.50582470819577, -80.46442021374003 43.499993407280506, -80.47257611575102 43.49369660578817, -80.47338471579855 43.49139070534586, -80.46856271370028 43.48503850446454, -80.46274161187965 43.48526330478234, -80.4581569102044 43.48276560456428, -80.45450230855707 43.47731410378436, -80.44977180701554 43.47680960392215, -80.44183700463239 43.47821190454696, -80.43317780224385 43.482099805641646, -80.42375529915041 43.48084600587214, -80.42238989841621 43.47748960534945, -80.4272344993832 43.47121080401811, -80.4203297962931 43.46114080258321, -80.41107579299316 43.45699220229767, -80.39478668765484 43.4549215027116, -80.3877902844261 43.4436108010617, -80.37871128184618 43.44686190206451, -80.37288298036815 43.45093610305673, -80.35825727611478 43.45510040448373, -80.35351917496116 43.45895030538455, -80.34146457133451 43.46104240632537, -80.30792566190127 43.47421461023125, -80.37374498798978 43.53260231732098, -80.36717708920189 43.56905552400962, -80.38307239374639 43.56364362230389, -80.4100420040463 43.58308782441119))
