ogfId;municipalType;municipalName;municipalAreaExtentType;municipalNamePrefix;municipalNameShortform;upperTierMunicipality;geometry
319586021;Lower Tier Municipality;CITY OF MISSISSAUGA;Water;CITY OF;MISSISSAUGA;REGIONAL MUNICIPALITY OF PEEL;POLYGON ((-79.41785747084073 43.37643633467712, -79.54157682835569 43.58422156559756, -79.54707062944462 43.57671736402282, -79.55757983206658 43.56848806208709, -79.56802493489597 43.56285206061012, -79.57373173613531 43.556290959190726, -79.58081103811251 43.553152858309375, -79.57617993631823 43.54951135788434, -79.58224933846891 43.55200005803968, -79.57926533733534 43.54990995781087, -79.58108483786967 43.549401357636754, -79.58030353753385 43.54841035749879, -79.57647273628825 43.5481105576243, -79.58046873756994 43.548223157458146, -79.58366403825544 43.54445415664647, -79.58247733777829 43.543322956502706, -79.58501673871906 43.54483105664983, -79.58504763856584 43.54297665632214, -79.59009223986553 43.539500355475816, -79.59436294122206 43.53947195527211, -79.59796054210068 43.53644575457223, -79.60227014233115 43.52346965208823, -79.60112504076808 43.50982304973918, -79.60642744129063 43.49656174715727, -79.60367454025406 43.494727446962166, -79.6026066397434 43.492778246668465, -79.60661404134619 43.496519047141014, -79.6124824430024 43.494123146446135, -79.61566954355959 43.488921245381576, -79.60962654119378 43.483859844770926, -79.6160376435925 43.487962245195554, -79.62506594588335 43.4813496436106, -79.46145258337704 43.361099429953754, -79.41785747084073 43.37643633467712))
319585811;Lower Tier Municipality;CITY OF BRAMPTON;Mainland;CITY OF;BRAMPTON;REGIONAL MUNICIPALITY OF PEEL;POLYGON ((-79.63930457416879 43.74984489006835, -79.69541060085781 43.84810650458384, -79.75980391624991 43.79095059158429, -79.77197361935391 43.78233748950793, -79.81972833065085 43.73875087964758, -79.82508153270564 43.74265908007769, -79.83570033521397 43.732940177879485, -79.83011293305672 43.72871697740527, -79.88887284692828 43.674889465225384, -79.78993150894574 43.601818057083655, -79.77806450584879 43.609437158976604, -79.76102910088578 43.61456376067469, -79.73306959423006 43.63977006640452, -79.70764718737412 43.65366787003166, -79.69069728331414 43.66869807345915, -79.67708388133632 43.69519437873691, -79.67257128041031 43.700937879953784, -79.6731617811227 43.706824980956426, -79.63938707305276 43.73703438782441, -79.6341247710301 43.7331573873929, -79.63017326996615 43.735351487961786, -79.63930457416879 43.74984489006835))
319586032;Lower Tier Municipality;TOWN OF CALEDON;Mainland;TOWN OF;CALEDON;REGIONAL MUNICIPALITY OF PEEL;POLYGON ((-79.77543173918855 43.98965732541437, -80.07020222728465 43.92521760021019, -80.07115732751062 43.92436360001653, -80.06580562544474 43.920405699585764, -80.07129992674818 43.91552929847749, -80.08236793083019 43.92163459900747, -80.08658183181076 43.917689598121925, -80.08286703038053 43.91498209782992, -80.08816303161561 43.910052296721716, -80.0935370328754 43.90512309560982, -80.09722283429447 43.90781209590007, -80.14418624530285 43.86477378618582, -79.88887284692828 43.674889465225384, -79.83011293305672 43.72871697740527, -79.83570033521397 43.732940177879485, -79.82508153270564 43.74265908007769, -79.81972833065085 43.73875087964758, -79.69485140080134 43.849462104846424, -79.70684770625714 43.867571207436065, -79.77543173918855 43.98965732541437))
319585784;Lower Tier Municipality;CITY OF MISSISSAUGA;Mainland;CITY OF;MISSISSAUGA;REGIONAL MUNICIPALITY OF PEEL;POLYGON ((-79.63017326996615 43.735351487961786, -79.6341247710301 43.7331573873929, -79.63938707305276 43.73703438782441, -79.6731617811227 43.706824980956426, -79.67257128041031 43.700937879953784, -79.67708388133632 43.69519437873691, -79.69069728331414 43.66869807345915, -79.70764718737412 43.65366787003166, -79.73306959423006 43.63977006640452, -79.76102910088578 43.61456376067469, -79.77806450584879 43.609437158976604, -79.78993150894574 43.601818057083655, -79.78792130817591 43.6003480569202, -79.79950941158073 43.59719675582365, -79.81010111417292 43.58847075379598, -79.80652411260772 43.58365195311849, -79.74612038948881 43.5394554481881, -79.72754788278415 43.53039734746435, -79.69735497123237 43.50825224497945, -79.68167516752582 43.52276804826484, -79.62506594588335 43.4813496436106, -79.6160376435925 43.487962245195554, -79.60962654119378 43.483859844770926, -79.61566954355959 43.488921245381576, -79.6124824430024 43.494123146446135, -79.60661404134619 43.496519047141014, -79.6026066397434 43.492778246668465, -79.60642744129063 43.49656174715727, -79.60112504076808 43.50982304973918, -79.60227014233115 43.52346965208823, -79.59796054210068 43.53644575457223, -79.59436294122206 43.53947195527211, -79.59009223986553 43.539500355475816, -79.58504763856584 43.54297665632214, -79.58501673871906 43.54483105664983, -79.58247733777829 43.543322956502706, -79.58366403825544 43.54445415664647, -79.58046873756994 43.548223157458146, -79.57647273628825 43.5481105576243, -79.58030353753385 43.54841035749879, -79.58108483786967 43.549401357636754, -79.57926533733534 43.54990995781087, -79.58224933846891 43.55200005803968, -79.57617993631823 43.54951135788434, -79.58081103811251 43.553152858309375, -79.57373173613531 43.556290959190726, -79.56802493489597 43.56285206061012, -79.55757983206658 43.56848806208709, -79.54707062944462 43.57671736402282, -79.54157682835569 43.58422156559756, -79.54948223141547 43.5903798663121, -79.54882593161422 43.59500866715608, -79.55381313326838 43.59575616705527, -79.55355883339342 43.59809396747782, -79.55597353430399 43.59970016764762, -79.55653503474223 43.60264266813843, -79.5672350387217 43.60912516877868, -79.56729583888338 43.610737569059026, -79.56405093802667 43.61274076956196, -79.56852263959648 43.61439046964328, -79.56575363956365 43.624008071460906, -79.56371063899648 43.62495477172227, -79.56392713932019 43.62783887221848, -79.57487184259324 43.625426571284905, -79.58530354621453 43.628806571391706, -79.58536424698626 43.637316172882144, -79.58865834851782 43.64276827368493, -79.59239614987428 43.644642273839295, -79.59694715117982 43.643014473341346, -79.60705155454302 43.64465067315659, -79.60879025525688 43.64645857339247, -79.58882395050557 43.66462317750999, -79.63017326996615 43.735351487961786))
