ogfId;municipalType;municipalName;municipalAreaExtentType;municipalNamePrefix;municipalNameShortform;upperTierMunicipality;geometry
319586034;Lower Tier Municipality;TOWN OF OAKVILLE;Mainland;TOWN OF;OAKVILLE;REGIONAL MUNICIPALITY OF HALTON;POLYGON ((-79.62506594588335 43.4813496436106, -79.68167516752582 43.52276804826484, -79.69735497123237 43.50825224497945, -79.7248216817283 43.528255347215165, -79.77239909301349 43.48478633734503, -79.78640659762662 43.486637037015626, -79.80811800277134 43.46678463250621, -79.80250669995327 43.45502983069916, -79.79521249712825 43.44925333002291, -79.81094940084876 43.4347607267344, -79.72447546786879 43.37175311965364, -79.71824336619902 43.37528412056719, -79.71267246408885 43.37137702013634, -79.71778016607833 43.3755852206419, -79.70975796500011 43.392378623980186, -79.70582196378967 43.392829524242906, -79.70720656427324 43.39333112426703, -79.70656076418423 43.39465722453112, -79.70215986316046 43.398928925489884, -79.6917161602807 43.403924326857485, -79.69067726081038 43.41374512863878, -79.685928359525 43.4162931293093, -79.68405465961479 43.42411443077624, -79.67932835839082 43.42728363155519, -79.67809275834799 43.431276132316846, -79.66902765614483 43.439004634101586, -79.66538475502612 43.4394485343494, -79.66499985525691 43.44347803507784, -79.66166895451775 43.447121835875244, -79.6541813526189 43.45260773719079, -79.64848735142915 43.45968093870256, -79.64443645032125 43.46173103925233, -79.64284105030195 43.46729474030715, -79.62966034683845 43.475583542380996, -79.62506594588335 43.4813496436106))
319586049;Lower Tier Municipality;TOWN OF HALTON HILLS;Mainland;TOWN OF;HALTON HILLS;REGIONAL MUNICIPALITY OF HALTON;POLYGON ((-79.88887284692828 43.674889465225384, -79.9690444777742 43.734439571837775, -80.08578330538785 43.62910514790472, -79.93899204944356 43.524585836526406, -79.8949435389774 43.564195645550534, -79.86824682872417 43.54425284330566, -79.86268672675995 43.54202294317535, -79.80241091233327 43.59528345535195, -79.79564661050331 43.59889475630279, -79.78792130817591 43.6003480569202, -79.88887284692828 43.674889465225384))
319585848;Lower Tier Municipality;CITY OF BURLINGTON;Water;CITY OF;BURLINGTON;REGIONAL MUNICIPALITY OF HALTON;POLYGON ((-79.63034733192568 43.3021701117181, -79.72447546786879 43.37175311965364, -79.72769226850328 43.367330818722934, -79.73359527020808 43.36539761810679, -79.74655107354856 43.35657201594491, -79.74890987402543 43.353464115286066, -79.75414507551629 43.351513414697735, -79.76545757805413 43.33948011204497, -79.76956777929512 43.338758811726144, -79.7721490797805 43.33494181093148, -79.79547158621754 43.32394320790142, -79.8003111874028 43.31994210696878, -79.80062028733198 43.31800930661275, -79.79894208587484 43.30742030481878, -79.7953604841651 43.300845203822796, -79.7911841829328 43.30189990420375, -79.72840476007238 43.26801300112401, -79.63034733192568 43.3021701117181))
319586132;Lower Tier Municipality;TOWN OF OAKVILLE;Water;TOWN OF;OAKVILLE;REGIONAL MUNICIPALITY OF HALTON;POLYGON ((-79.46145258337704 43.361099429953754, -79.62506594588335 43.4813496436106, -79.62966034683845 43.475583542380996, -79.64284105030195 43.46729474030715, -79.64443645032125 43.46173103925233, -79.64848735142915 43.45968093870256, -79.6541813526189 43.45260773719079, -79.66166895451775 43.447121835875244, -79.66499985525691 43.44347803507784, -79.66538475502612 43.4394485343494, -79.66902765614483 43.439004634101586, -79.67809275834799 43.431276132316846, -79.67932835839082 43.42728363155519, -79.68405465961479 43.42411443077624, -79.685928359525 43.4162931293093, -79.69067726081038 43.41374512863878, -79.6917161602807 43.403924326857485, -79.70215986316046 43.398928925489884, -79.70656076418423 43.39465722453112, -79.70720656427324 43.39333112426703, -79.70582196378967 43.392829524242906, -79.70975796500011 43.392378623980186, -79.71778016607833 43.3755852206419, -79.7125724640617 43.371429820150304, -79.71824336619902 43.37528412056719, -79.72447546786879 43.37175311965364, -79.63034733192568 43.3021701117181, -79.46145258337704 43.361099429953754))
319585898;Lower Tier Municipality;TOWN OF MILTON;Mainland;TOWN OF;MILTON;REGIONAL MUNICIPALITY OF HALTON;POLYGON ((-79.81010111417292 43.58847075379598, -79.86268672675995 43.54202294317535, -79.86824682872417 43.54425284330566, -79.8949435389774 43.564195645550534, -79.93899204944356 43.524585836526406, -80.08556860530624 43.62895564788874, -80.13426641685747 43.585507637977976, -80.12857181468361 43.58141663753206, -80.13867491698224 43.571317935284924, -80.1442882183305 43.56650143417532, -80.1507880207981 43.571027134659296, -80.1611422232313 43.56155073250879, -79.95928964637378 43.41728321670602, -79.89471663112798 43.47654603016583, -79.82034150306436 43.426059224762135, -79.79521249712825 43.44925333002291, -79.80250669995327 43.45502983069916, -79.80811800277134 43.46678463250621, -79.78640659762662 43.486637037015626, -79.77239909301349 43.48478633734503, -79.7248216817283 43.528255347215165, -79.74612038948881 43.5394554481881, -79.80652411260772 43.58365195311849, -79.81010111417292 43.58847075379598))
319586218;Lower Tier Municipality;CITY OF BURLINGTON;Mainland;CITY OF;BURLINGTON;REGIONAL MUNICIPALITY OF HALTON;POLYGON ((-79.81094940084876 43.4347607267344, -79.82034150306436 43.426059224762135, -79.89471663112798 43.47654603016583, -79.95928964637378 43.41728321670602, -79.8600121087035 43.34698830896173, -79.86126470863258 43.34164950796058, -79.8737767116317 43.3306092054265, -79.88121291377615 43.32817910464987, -79.88417831481881 43.329349504717996, -79.912582021994 43.308505699708704, -79.88737531240591 43.29022949765612, -79.88666221231048 43.29172159795321, -79.8856741118295 43.28980309766017, -79.88284141097903 43.290342597887715, -79.88356211135691 43.29205159815622, -79.8807605102493 43.28953899784277, -79.88713491226216 43.28945709753077, -79.88617631181421 43.287808597284055, -79.8683579060397 43.28634609785691, -79.85143060177994 43.29899110088233, -79.84752780063066 43.29999620124203, -79.84840240096928 43.30069850132542, -79.84481599976941 43.29997770136521, -79.84422319975651 43.30197980174684, -79.83859449822921 43.30492140252933, -79.82877689529917 43.30700940335617, -79.81237769065265 43.31334170523988, -79.80467538796871 43.310577905110065, -79.80451378770341 43.30812690468422, -79.80019238587306 43.30285880395393, -79.80436448694832 43.30002130325786, -79.8016625858227 43.29694030283875, -79.79855058497292 43.29851060326133, -79.79919598510355 43.297661903081185, -79.79108698289474 43.30181750419369, -79.7949190840145 43.3007235038218, -79.79690098482008 43.30275240408833, -79.80033198676904 43.312612505672085, -79.8003111874028 43.31994210696878, -79.79547158621754 43.32394320790142, -79.7721490797805 43.33494181093148, -79.76956777929512 43.338758811726144, -79.76545757805413 43.33948011204497, -79.75414507551629 43.351513414697735, -79.74890987402543 43.353464115286066, -79.74655107354856 43.35657201594491, -79.73359527020808 43.36539761810679, -79.72769226850328 43.367330818722934, -79.72447546786879 43.37175311965364, -79.81094940084876 43.4347607267344))
