ogfId;municipalType;municipalName;municipalAreaExtentType;municipalNamePrefix;municipalNameShortform;upperTierMunicipality;geometry
319586154;Single Tier Municipality;HALDIMAND COUNTY;Water;;HALDIMAND COUNTY;;POLYGON ((-79.43739743433498 42.875772244568246, -79.44390113644188 42.87634084437456, -79.45250323901601 42.874566443665, -79.45359503900632 42.870339742857006, -79.46320494163638 42.86543974154064, -79.46443094175632 42.86225034091255, -79.47314734414911 42.85789583973463, -79.47683584435839 42.84649493752048, -79.47945134489319 42.84300873677568, -79.48374004606325 42.84078293618096, -79.50584645355232 42.8466656362309, -79.52034435866724 42.852941436696746, -79.52926616160718 42.85433493654022, -79.5391012644604 42.8512686355418, -79.5404852645342 42.84694583470309, -79.54455196567596 42.84522813420953, -79.54305726489075 42.84151683361165, -79.5446913652968 42.84020053330097, -79.55126736750208 42.841688833268265, -79.5567127697015 42.84735413403642, -79.57122387488634 42.854416034641126, -79.57560987640956 42.85602873473018, -79.57849347725582 42.85524963445883, -79.57986317747172 42.8526730339342, -79.57867187742146 42.85654413468282, -79.58791958043638 42.85761293445227, -79.59282298192569 42.85688533409781, -79.59406518201246 42.85325823339063, -79.60714808539026 42.84425993117926, -79.62520849078354 42.840507029680914, -79.63913409476186 42.83548632814379, -79.64517919714336 42.841060228867, -79.65110689923443 42.84363372905738, -79.6588984017548 42.84431502882304, -79.66265560265381 42.840900928038906, -79.66360200306806 42.84226292823984, -79.66132180245923 42.84358692858159, -79.66188320278599 42.845353928872676, -79.6696831057646 42.85142432960384, -79.67472950744157 42.852392429546306, -79.67966090881873 42.85024762893603, -79.67865930861053 42.85152842921147, -79.68099930950058 42.853306729422975, -79.70333481723014 42.86122542981833, -79.71942552159979 42.85278402756809, -79.72677032410527 42.85496392762172, -79.73577092691826 42.854599927143546, -79.73809702750727 42.85287852672839, -79.7377793271448 42.84978642618899, -79.74476572925316 42.848620325659475, -79.74446382905138 42.84736532544844, -79.7487334302347 42.84541302490267, -79.74948723021893 42.842418024331444, -79.75200153088693 42.840928023949054, -79.75962433354186 42.843842924121425, -79.76519353517213 42.84232282359338, -79.77374963808482 42.844801023644365, -79.78504794158509 42.843998422981535, -79.78844234261315 42.84348062273276, -79.79038234297498 42.84052492211416, -79.79499974446252 42.84087072196388, -79.80397754670251 42.833859720295244, -79.8113095489239 42.832756419760486, -79.81991915183059 42.834975219762036, -79.83746645686627 42.82904011789162, -79.84072345747582 42.82411111685874, -79.83865265670262 42.82270331670179, -79.84059765723036 42.821687516430316, -79.85805616306283 42.82547831630594, -79.86563166534499 42.82419821572781, -79.87209856745756 42.82504111558097, -79.87702896878915 42.82240141488107, -79.88544717133398 42.82108791425795, -79.88835217202679 42.81845501365248, -79.88772457163604 42.816188613275436, -79.89070157251392 42.81546561300877, -79.90024587580966 42.818808713167755, -79.91816558153033 42.81959621248254, -79.92698458413678 42.817531611706016, -79.92835158431079 42.81450951110172, -79.93616898670275 42.813641210585594, -79.94032318758713 42.808636909497594, -79.95184369113538 42.80763520878655, -79.95979759382293 42.80973860879608, -79.9599538940254 42.811536709110804, -79.9609884941128 42.80873190856079, -79.97157359726177 42.80651290767458, -79.9776866989072 42.803199706798914, -79.98131879952436 42.79700020552079, -79.9800110989772 42.79541720529767, -79.98053359890922 42.79268420478401, -79.98218119935785 42.79185230455885, -79.98570380045537 42.79169900436874, -79.99897740539537 42.8005645053432, -79.99701260489921 42.80201070569303, -79.99936570552535 42.800653305341186, -80.01080510923123 42.80182050502133, -80.02043291267624 42.806626705436535, -80.02890761545692 42.80790580527338, -80.03955031855139 42.80485730423518, -80.03801801802156 42.804308604207854, -80.03808521763924 42.799581303358536, -80.0419475186776 42.797484002804325, -80.04146681843197 42.7963813026291, -80.04469071962097 42.798407302842605, -80.04416011914975 42.79484580222956, -80.04508671960615 42.79677170253147, -80.05432862237076 42.79503820179331, -80.05775822366387 42.797525002079695, -80.06367312559313 42.79828950194263, -80.07220242804948 42.7955807010627, -80.07355522811713 42.7913817002484, -80.08249333097787 42.79190369992775, -80.08785153246046 42.78949719924868, -80.10227033712776 42.79095739884172, -80.10805803875779 42.78869719816886, -80.12535044424232 42.789137097445526, -79.8835158410408 42.468193650830095, -79.28304027051117 42.69625521924453, -79.43739743433498 42.875772244568246), (-80.07901522965815 42.78928219961963, -80.07738612881889 42.78546449901159, -80.07763402887758 42.78523669895931, -80.07946462978164 42.789069899560765, -80.07901522965815 42.78928219961963), (-79.52242815778261 42.83458873330806, -79.52298405788906 42.83376293313448, -79.52395915825456 42.83444203321199, -79.52307255803409 42.83515533338044, -79.52242815778261 42.83458873330806), (-79.74485112914128 42.8469824253621, -79.74493332916887 42.84700132536172, -79.74493852917392 42.84704182536875, -79.74485002914513 42.84703202537101, -79.74485112914128 42.8469824253621), (-79.74509002920591 42.84685432532814, -79.74518552924226 42.846927525336916, -79.74515532924111 42.84702622535595, -79.74507002920643 42.846935325343615, -79.74509002920591 42.84685432532814), (-79.57747567689603 42.85480023442473, -79.57832417702669 42.853167234093085, -79.57841837705884 42.85319543409387, -79.57755767692471 42.85483263442675, -79.57747567689603 42.85480023442473))
319586124;Single Tier Municipality;HALDIMAND COUNTY;Mainland;;HALDIMAND COUNTY;;POLYGON ((-79.7539636493841 43.05051496130627, -79.98428352928886 43.132046165116456, -80.0040748317339 43.08814835639984, -79.9905291272512 43.085828156618675, -79.97668782227623 43.07890625603317, -80.0544485368343 42.96317393181881, -80.18521838226195 43.01129113428343, -80.14707896131891 42.90826711771851, -80.17595157003518 42.9038014155765, -80.16910846633647 42.88591601270503, -80.17282176745583 42.8853252124266, -80.16918316550503 42.875989610930155, -80.1760834675217 42.87415741028178, -80.17340766604968 42.86685270910252, -80.16150756246542 42.86877600999994, -80.14977665580608 42.834296004387085, -80.13081284585705 42.787900696970766, -80.12237874337598 42.78995149772912, -80.10805803875779 42.78869719816886, -80.10244603718246 42.79094969883222, -80.08785153246046 42.78949719924868, -80.08249333097787 42.79190369992775, -80.07355522811713 42.7913817002484, -80.07229682807346 42.79551370104631, -80.06384282564557 42.79827730193263, -80.05848982391569 42.79777430209045, -80.05432862237076 42.79503820179331, -80.04508671960615 42.79677170253147, -80.04416011914975 42.79484580222956, -80.04469071962097 42.798407302842605, -80.04146681843197 42.7963813026291, -80.0419475186776 42.797484002804325, -80.03808521763924 42.799581303358536, -80.03801801802156 42.804308604207854, -80.03955031855139 42.80485730423518, -80.02890761545692 42.80790580527338, -80.02043291267624 42.806626705436535, -80.01080510923123 42.80182050502133, -79.99936570552535 42.800653305341186, -79.99846320533767 42.80178930558635, -79.99753510506667 42.802042205674496, -79.99701260489921 42.80201070569303, -79.99897740539537 42.8005645053432, -79.98570380045537 42.79169900436874, -79.98218119935785 42.79185230455885, -79.98053359890922 42.79268420478401, -79.9800110989772 42.79541720529767, -79.98131879952436 42.79700020552079, -79.9776866989072 42.803199706798914, -79.97157359726177 42.80651290767458, -79.9609884941128 42.80873190856079, -79.96008049392388 42.809876208807594, -79.96029409410569 42.8112201090384, -79.9599538940254 42.811536709110804, -79.95979759382293 42.80973860879608, -79.95184369113538 42.80763520878655, -79.94032318758713 42.808636909497594, -79.93616898670275 42.813641210585594, -79.92835158431079 42.81450951110172, -79.92698458413678 42.817531611706016, -79.91816558153033 42.81959621248254, -79.90024587580966 42.818808713167755, -79.89070157251392 42.81546561300877, -79.88772457163604 42.816188613275436, -79.88835217202679 42.81845501365248, -79.88544717133398 42.82108791425795, -79.87702896878915 42.82240141488107, -79.87209856745756 42.82504111558097, -79.86563166534499 42.82419821572781, -79.85805616306283 42.82547831630594, -79.84059765723036 42.821687516430316, -79.83865265670262 42.82270331670179, -79.84072345747582 42.82411111685874, -79.83746645686627 42.82904011789162, -79.81991915183059 42.834975219762036, -79.8113095489239 42.832756419760486, -79.80397754670251 42.833859720295244, -79.79499974446252 42.84087072196388, -79.79038234297498 42.84052492211416, -79.78844234261315 42.84348062273276, -79.78504794158509 42.843998422981535, -79.77374963808482 42.844801023644365, -79.76519353517213 42.84232282359338, -79.75962433354186 42.843842924121425, -79.75200153088693 42.840928023949054, -79.74948723021893 42.842418024331444, -79.7487334302347 42.84541302490267, -79.74446382905138 42.84736532544844, -79.74476572925316 42.848620325659475, -79.7377793271448 42.84978642618899, -79.73809702750727 42.85287852672839, -79.73577092691826 42.854599927143546, -79.72677032410527 42.85496392762172, -79.71942552159979 42.85278402756809, -79.70333481723014 42.86122542981833, -79.68099930950058 42.853306729422975, -79.67865930861053 42.85152842921147, -79.67966090881873 42.85024762893603, -79.67472950744157 42.852392429546306, -79.6696831057646 42.85142432960384, -79.66188320278599 42.845353928872676, -79.66132180245923 42.84358692858159, -79.66360200306806 42.84226292823984, -79.66265560265381 42.840900928038906, -79.6588984017548 42.84431502882304, -79.65110689923443 42.84363372905738, -79.64517919714336 42.841060228867, -79.63913409476186 42.83548632814379, -79.62520849078354 42.840507029680914, -79.60714808539026 42.84425993117926, -79.59406518201246 42.85325823339063, -79.59282298192569 42.85688533409781, -79.58791958043638 42.85761293445227, -79.57867187742146 42.85654413468282, -79.57986317747172 42.8526730339342, -79.57849347725582 42.85524963445883, -79.57560987640956 42.85602873473018, -79.57122387488634 42.854416034641126, -79.5567127697015 42.84735413403642, -79.55126736750208 42.841688833268265, -79.5446913652968 42.84020053330097, -79.54305726489075 42.84151683361165, -79.54455196567596 42.84522813420953, -79.5404852645342 42.84694583470309, -79.5391012644604 42.8512686355418, -79.52926616160718 42.85433493654022, -79.52034435866724 42.852941436696746, -79.50584645355232 42.8466656362309, -79.48374004606325 42.84078293618096, -79.47945134489319 42.84300873677568, -79.47683584435839 42.84649493752048, -79.47314734414911 42.85789583973463, -79.46443094175632 42.86225034091255, -79.46320494163638 42.86543974154064, -79.45359503900632 42.870339742857006, -79.45250323901601 42.874566443665, -79.44390113644188 42.87634084437456, -79.43739743433498 42.875772244568246, -79.51151206530537 42.96467095711688, -79.7539636493841 43.05051496130627), (-80.03912293290009 42.97364583439754, -80.04519173500923 42.97588833451475, -80.0430122346026 42.9791494351971, -80.03669623241026 42.97684823508095, -80.03912293290009 42.97364583439754), (-80.00965312838093 43.02907884563819, -80.00743542796535 43.032374946327856, -79.99337872307132 43.02712874604826, -79.99689842394814 43.02440814540036, -80.00965312838093 43.02907884563819))
319586023;Single Tier Municipality;HALDIMAND COUNTY;Islands;;HALDIMAND COUNTY;;MULTIPOLYGON (((-80.07901522965815 42.78928219961963, -80.07946462978164 42.789069899560765, -80.07763402887758 42.78523669895931, -80.07738612881889 42.78546449901159, -80.07901522965815 42.78928219961963)), ((-79.52242815778261 42.83458873330806, -79.52307255803409 42.83515533338044, -79.52395915825456 42.83444203321199, -79.52298405788906 42.83376293313448, -79.52242815778261 42.83458873330806)), ((-79.74509002920591 42.84685432532814, -79.74507002920643 42.846935325343615, -79.74515532924111 42.84702622535595, -79.74518552924226 42.846927525336916, -79.74509002920591 42.84685432532814)), ((-79.74485112914128 42.8469824253621, -79.74485002914513 42.84703202537101, -79.74493852917392 42.84704182536875, -79.74493332916887 42.84700132536172, -79.74485112914128 42.8469824253621)), ((-79.57747567689603 42.85480023442473, -79.57755767692471 42.85483263442675, -79.57841837705884 42.85319543409387, -79.57832417702669 42.853167234093085, -79.57747567689603 42.85480023442473)))
