ogfId;municipalType;municipalName;municipalAreaExtentType;municipalNamePrefix;municipalNameShortform;upperTierMunicipality;geometry
319586054;Lower Tier Municipality;TOWN OF TILLSONBURG;Mainland;TOWN OF;TILLSONBURG;COUNTY OF OXFORD;POLYGON ((-80.7050464335529 42.87008468470512, -80.71802153759957 42.86977438403507, -80.72319034091736 42.88910908722628, -80.76100745232401 42.88379628448776, -80.75131304614447 42.84802417858949, -80.76183004931005 42.84648497781697, -80.74463624194348 42.823959674624795, -80.7270532383333 42.84577177933869, -80.72429263748363 42.845963779503656, -80.72418033711794 42.84218687883709, -80.71872983481055 42.835363377881166, -80.71451183364397 42.83716277840106, -80.71197423255606 42.83382907792796, -80.70057773026238 42.84851428108045, -80.70518943223797 42.854548781935534, -80.70101903098102 42.855146782239416, -80.7050464335529 42.87008468470512))
319585854;Lower Tier Municipality;TOWN OF INGERSOLL;Mainland;TOWN OF;INGERSOLL;COUNTY OF OXFORD;POLYGON ((-80.8710050014389 43.048662308453, -80.87313720195742 43.04696230805052, -80.8752175029038 43.05025330853238, -80.87790990353956 43.047894207986694, -80.88022890469381 43.05267690872063, -80.90816991275197 43.04461870595857, -80.90207980978371 43.0327614041552, -80.90911481146422 43.02682190276852, -80.91372571280384 43.025607002332954, -80.9121050121835 43.02435410218913, -80.91455501285976 43.02330910188709, -80.90443850891435 43.01466200084286, -80.9027886084977 43.01580240112349, -80.90141600797168 43.01473260100006, -80.90594860911627 43.01159990022911, -80.89768080594276 43.00509789947496, -80.89190040448426 43.009109300461034, -80.88741790276387 43.00558560005223, -80.88856010305896 43.00487019987107, -80.86947719727927 43.00726110120665, -80.84813399192906 43.02250120492249, -80.85200789347255 43.02617920538776, -80.85037509324505 43.029392506033965, -80.85131279360002 43.030072506109356, -80.84753729264898 43.03271680675743, -80.85147049415602 43.03577180710941, -80.85055989392389 43.03637860726025, -80.85698199609864 43.038148907266, -80.8710050014389 43.048662308453))
319586110;Lower Tier Municipality;CITY OF WOODSTOCK;Mainland;CITY OF;WOODSTOCK;COUNTY OF OXFORD;POLYGON ((-80.71261986262354 43.17203123780291, -80.71325856333796 43.177783938786455, -80.71853186468583 43.17428493791759, -80.790214785296 43.15245643063975, -80.77944097994484 43.130476727279294, -80.78004097977406 43.126445026539315, -80.77775187885777 43.12424342626034, -80.78169627959907 43.118641725083215, -80.78421328031546 43.11779702481382, -80.77374407630106 43.10969662388476, -80.76572847425038 43.11497982520045, -80.76137917258488 43.11163952481869, -80.75906367068566 43.098481822606196, -80.75685366997398 43.098295022678734, -80.75371176863334 43.09433162212881, -80.74997326750945 43.0949156224105, -80.75044716805154 43.09933562316848, -80.73687426395927 43.10132792416844, -80.7388130650537 43.10677692503815, -80.73479516390573 43.10808152546034, -80.66742334354801 43.11756453034859, -80.67206464611604 43.130026332328065, -80.67517614705403 43.12955993209737, -80.67798044864783 43.13755683337533, -80.67534854785416 43.13794863357001, -80.67698374868758 43.14153163412442, -80.65617864240518 43.14454293564806, -80.6649516473029 43.16853783946337, -80.70916046065962 43.16222203623863, -80.71261986262354 43.17203123780291))
319585903;Lower Tier Municipality;TOWNSHIP OF ZORRA;Mainland;TOWNSHIP OF;ZORRA;COUNTY OF OXFORD;POLYGON ((-80.805698286418 43.11045912249093, -80.90104603353777 43.301106851451586, -81.13225339992742 43.23145222804509, -81.037617553518 43.04609240000268, -81.0234281494568 43.05046680145734, -80.99375413498704 42.99265259267086, -80.98611043256012 42.992327992980165, -80.98641603234341 42.98881609234449, -80.98284523114141 42.98789699235325, -80.98429493143917 42.98613219197166, -80.9770473291305 42.985739392249734, -80.97797012952935 42.98696849242283, -80.97426222862995 42.989935093125226, -80.97402592891837 42.99400989385709, -80.9638863258191 42.99493469450677, -80.9618490254033 42.99744629504854, -80.95914822453005 42.99715719512692, -80.95415892359397 43.00423329661715, -80.9500235223701 43.00506459696235, -80.94863512230656 43.00924689776829, -80.94617712158386 43.009794797982934, -80.94524882147199 43.01181159838399, -80.94174002040401 43.01218659861847, -80.94301992094003 43.01369549882383, -80.94120412050252 43.01518319917381, -80.93786231957851 43.0165869995821, -80.93614571883936 43.01433639926659, -80.92319941526706 43.0198631008638, -80.92417401563881 43.020602200947785, -80.92217951502491 43.020740401067755, -80.92293931543705 43.02269060137607, -80.91966641465021 43.02539520201092, -80.91501231312344 43.02465890210372, -80.90813821121833 43.02750470293597, -80.90207980978371 43.0327614041552, -80.90816991275197 43.04461870595857, -80.88022890469381 43.05267690872063, -80.87790990353956 43.047894207986694, -80.8752175029038 43.05025330853238, -80.87313720195742 43.04696230805052, -80.86824540076191 43.050795908962044, -80.8704493017734 43.054381409490006, -80.86552800063812 43.05899521054067, -80.86363610001541 43.05867771057516, -80.86483370050327 43.05993101073926, -80.86140059962514 43.06218271130134, -80.860080799487 43.06528771191298, -80.85685359842368 43.06473451196973, -80.85504549839266 43.070765513121486, -80.85199359747939 43.0712793133583, -80.85284019794412 43.0735092137116, -80.84725569649896 43.076986814593056, -80.8482246969789 43.078955814894314, -80.8413722955491 43.08707881665657, -80.84390019679057 43.092092217420536, -80.83697689480357 43.09421461812668, -80.83794039523363 43.09564111833232, -80.83181379356466 43.09852301913436, -80.82987039266986 43.095338118665246, -80.82434689130348 43.09948951966243, -80.82202529030832 43.09651261924806, -80.81908798966668 43.09967491994682, -80.81889718992227 43.1032150205808, -80.81497568878387 43.10427542095567, -80.81233598824701 43.107563721662295, -80.81146618775183 43.105076621264985, -80.8066214863693 43.10665582177559, -80.80749888680907 43.108494522058116, -80.805698286418 43.11045912249093))
