ogfId;municipalType;municipalName;municipalAreaExtentType;municipalNamePrefix;municipalNameShortform;upperTierMunicipality;geometry
319585617;Single Tier Municipality;CITY OF TORONTO;Mainland;CITY OF;TORONTO;;POLYGON ((-79.11479941064877 43.79481972232419, -79.1209667126336 43.7949521220631, -79.12006841246934 43.79635352235006, -79.12408391385983 43.79755732237588, -79.12517981445839 43.800377922819514, -79.13165671667207 43.801985922802515, -79.13524991772204 43.8008540224384, -79.13341741731989 43.80294712288969, -79.13397441785372 43.806989523572135, -79.1404512200563 43.80847172353287, -79.14317312113984 43.810888223830446, -79.14600282198032 43.8101516235708, -79.15156332411048 43.814140124012525, -79.170274133742 43.85545613037791, -79.37291299437152 43.808428512752684, -79.63930457416879 43.74984489006835, -79.58882395050557 43.66462317750999, -79.60879025525688 43.64645857339247, -79.60705155454302 43.64465067315659, -79.59694715117982 43.643014473341346, -79.59239614987428 43.644642273839295, -79.58865834851782 43.64276827368493, -79.58536424698626 43.637316172882144, -79.58530354621453 43.628806571391706, -79.57487184259324 43.625426571284905, -79.56392713932019 43.62783887221848, -79.56371063899648 43.62495477172227, -79.56575363956365 43.624008071460906, -79.56852263959648 43.61439046964328, -79.56405093802667 43.61274076956196, -79.56729583888338 43.610737569059026, -79.5672350387217 43.60912516877868, -79.55653503474223 43.60264266813843, -79.55597353430399 43.59970016764762, -79.55355883339342 43.59809396747782, -79.55381313326838 43.59575616705527, -79.54882593161422 43.59500866715608, -79.54948223141547 43.5903798663121, -79.54157682835569 43.58422156559756, -79.53693592721811 43.58808866649313, -79.52968692489456 43.58791996680058, -79.52751942435086 43.58958576719417, -79.51868342163749 43.59073376780678, -79.51641922075378 43.58888606758724, -79.51488862027475 43.588983067675414, -79.51565552056132 43.58946416772436, -79.51563042067389 43.59083386796627, -79.5117399194086 43.59053806809511, -79.51217531932028 43.587957167621184, -79.51731012100149 43.58847686747393, -79.50925541833489 43.58732816764629, -79.510393418847 43.589029967892614, -79.50866061841593 43.59040426821473, -79.51084661916963 43.591056468227784, -79.50965491890923 43.592411668521365, -79.51069721935157 43.59366556869331, -79.5008927163464 43.595007969384895, -79.49651251552778 43.60156537074097, -79.49256581432186 43.60215037102716, -79.48651021305675 43.609701372635435, -79.48765691371372 43.61301467316434, -79.48437001309694 43.61790627417647, -79.48162121229343 43.618729774448894, -79.4788216112582 43.6171043742934, -79.48049751152455 43.614062373681065, -79.48329931247801 43.614751273671935, -79.48415261261566 43.61322567336426, -79.48304671218916 43.61238407326777, -79.48077611155786 43.613432173557406, -79.4790382108769 43.61198727338422, -79.47859271093411 43.61425097380268, -79.47698241042843 43.61433607389242, -79.47494611008527 43.61781027459746, -79.47831241116877 43.61793227446248, -79.47660951074333 43.61926447477567, -79.48155101254409 43.62183067499689, -79.47751791123808 43.62159597514303, -79.47487161014233 43.61872847476223, -79.4732127099079 43.62207217542674, -79.46917630866578 43.62257527570261, -79.47042850930102 43.6252579761157, -79.47199910981112 43.62536637606177, -79.47378621013507 43.62257627548864, -79.47570391082591 43.62348117555849, -79.47870661165535 43.6220325751645, -79.47596781121675 43.62696487615815, -79.47661831156678 43.62858547641259, -79.47081090990041 43.63068147705055, -79.46810610932289 43.63391347774383, -79.45736670618923 43.637203178820485, -79.44765940303245 43.63649707914727, -79.42773749608932 43.62977107889038, -79.41865629316457 43.6294363792528, -79.41035839066387 43.63108717992764, -79.41198629103428 43.62939537955491, -79.41425549181453 43.63004057956305, -79.41448849168472 43.62771857914424, -79.41598059220843 43.62826427917093, -79.41825819290112 43.62788317899838, -79.41867949297732 43.627221978862636, -79.4195995934559 43.62932887919017, -79.4224575943432 43.62905657900975, -79.42235919417251 43.627472078735934, -79.41819499275958 43.62650167875851, -79.41656299221933 43.626275278794424, -79.41499139173044 43.62641377889164, -79.41860789291414 43.62676277878528, -79.41616819225521 43.62811597913619, -79.41556119195327 43.62688227894755, -79.41084079050165 43.62749057927332, -79.40857839026934 43.63305628035614, -79.4015619881311 43.63418448087966, -79.40026938760734 43.6329143807164, -79.40229228808488 43.631007980287656, -79.39545398622914 43.63470578125436, -79.39693018685261 43.63644438149143, -79.39493008611578 43.63531748138615, -79.3918088852079 43.6363134817058, -79.39443748597641 43.63551948144448, -79.39508598627937 43.63661368160663, -79.38708578379455 43.63737118211049, -79.38752138403198 43.63849248228736, -79.38437438295209 43.63762508228078, -79.38420938303146 43.6391280825525, -79.38364668272702 43.6377052823286, -79.37954818145268 43.6380788825841, -79.38023808181511 43.63970008283699, -79.37878518123453 43.63836618266989, -79.37419747992817 43.640152783196335, -79.37516458036247 43.64158498340319, -79.37350467972377 43.64034098326152, -79.36823887821473 43.64228378384676, -79.36910167860425 43.64358558403555, -79.36741407798003 43.64260688394174, -79.36017547590852 43.64531218475228, -79.36072347625134 43.64722558506305, -79.35940017568632 43.64559858483849, -79.35441627428779 43.647778085452174, -79.35668107484004 43.64583928500669, -79.3540034739823 43.64579928512359, -79.35814137514548 43.64401198461801, -79.35657877448679 43.64218688436964, -79.3524935733387 43.64395448486934, -79.35620777432815 43.641728284306225, -79.35406097341384 43.6391134839461, -79.3337055679358 43.65069128692257, -79.33504956850771 43.65232218714693, -79.33150806751183 43.65385038757929, -79.3301413669337 43.65223198735819, -79.32535276552761 43.6536209878238, -79.35331587309132 43.63814708381077, -79.34708637066365 43.633125383216466, -79.34084876918344 43.63893638452642, -79.33646616780449 43.6391551847676, -79.33496366738846 43.639877484964046, -79.3374110681988 43.64021418491002, -79.32862466602755 43.64742038658292, -79.32987486655996 43.648941886792414, -79.32531416481682 43.645659586426596, -79.32867596573274 43.64387208595695, -79.32708136514704 43.642995285876594, -79.3274958651434 43.64144548558508, -79.33101436602387 43.63868428493701, -79.32944796538408 43.637087384728794, -79.32667976479536 43.64044598544712, -79.32468426412683 43.64008278547556, -79.32626956469639 43.64080998553011, -79.32429476445282 43.64521758639607, -79.32165566357722 43.64483528645091, -79.32294646341549 43.638293385241376, -79.32605946418384 43.635728384646555, -79.32656646400015 43.631786683930194, -79.32966846509746 43.633015184002744, -79.33661246700271 43.6294787830599, -79.32867226459173 43.630871483671925, -79.33184616523988 43.62671298279402, -79.33086186487365 43.62611718273479, -79.32301856300894 43.63339228437649, -79.3235689629393 43.630593483858995, -79.32568986351997 43.629498783568486, -79.32363026287328 43.6296170836845, -79.32382036265676 43.62645338311942, -79.32729606383506 43.62724628309818, -79.32401196265009 43.62567948297451, -79.32441366251534 43.622678082428166, -79.33301026522491 43.62230398196497, -79.33127666497874 43.62580658266102, -79.33484336606895 43.62526348240059, -79.33496176629765 43.62744208277815, -79.33942976789191 43.62937018291052, -79.33672536666045 43.62516268229585, -79.33754666670882 43.622724581829175, -79.33897886711499 43.62214608166121, -79.34105936799338 43.624597181996, -79.34323176858406 43.62343018169033, -79.33973466727528 43.621224281464215, -79.34180556777673 43.619408881049154, -79.34306266840616 43.62201558144939, -79.34491756896735 43.62166768130249, -79.34335236835355 43.62036078114503, -79.3446623685577 43.61792228065565, -79.34339516772407 43.613020179852164, -79.34148196757964 43.61833738087574, -79.33769266645136 43.61925468121221, -79.33692686639313 43.621378381621106, -79.33527416583622 43.62103858163776, -79.33564516581832 43.61948388134723, -79.33206466475207 43.62034978166505, -79.32722146310059 43.61913298167494, -79.32879966382049 43.62160468203665, -79.32545046278632 43.621995682260206, -79.325027262427 43.61943418182928, -79.32710706293896 43.61770438142895, -79.32348076173535 43.61716858150229, -79.32282516271688 43.630763483923246, -79.32140026249232 43.6333888844507, -79.32308966319572 43.63526448470234, -79.31956746302028 43.646082686766704, -79.32014156344792 43.64887018723003, -79.31601986277444 43.65618628870617, -79.31679296312156 43.65733068887152, -79.31310746199817 43.657932489147676, -79.31802686382593 43.66087028943625, -79.3178961638012 43.66106358947628, -79.31330546238443 43.66161418978533, -79.31437956266772 43.66093638961659, -79.31184216168975 43.659019689397205, -79.31241296167612 43.6567878889787, -79.31038996102271 43.65669908905662, -79.31031616114917 43.65840928936051, -79.306892859959 43.65729628932327, -79.3112627612189 43.65576008885129, -79.30847036018558 43.65413958869564, -79.30759866008852 43.65620408909873, -79.30493695928045 43.656676589304794, -79.30599035976759 43.65839758955846, -79.30499095958905 43.65999798988589, -79.30764236047949 43.66050228985188, -79.3064163603099 43.663029490352585, -79.2776254519153 43.6720999932768, -79.25563774690657 43.69503539832077, -79.24010394268832 43.703502900524924, -79.2381327420156 43.703012200529805, -79.23970064258191 43.70375850058842, -79.23749054198964 43.705054200917914, -79.23676154167961 43.70417480079724, -79.23912224224816 43.702060500316996, -79.23561644105851 43.70126480033924, -79.23651204152208 43.703287500653, -79.23378674096887 43.70690420141373, -79.23264224058569 43.70670400143144, -79.23319574063618 43.70526480115323, -79.22900163924898 43.70472370125193, -79.22756333902454 43.70740280178863, -79.22962763955051 43.70588180142635, -79.2334404409202 43.707610001553654, -79.23127824049047 43.710584402175606, -79.23009094006595 43.71006860213988, -79.23179684047183 43.70848400178295, -79.22967653972889 43.70773630174962, -79.228400639415 43.708804301996, -79.22955603983412 43.709374102042716, -79.22780683928406 43.70947360214094, -79.22722063928342 43.711601002541435, -79.23043054024316 43.710852402261814, -79.22938004005988 43.71258720261485, -79.22643913909562 43.712305502701156, -79.22807393926871 43.70832660192725, -79.22606783853735 43.70729560183888, -79.22499393852617 43.71107820255249, -79.22662383925064 43.713399802884766, -79.22415883884935 43.71779980377083, -79.20745583494923 43.73416770741421, -79.2023490334555 43.73574330792643, -79.18891233011892 43.74665311046049, -79.17560772649658 43.75383531233428, -79.15253461960418 43.75935721436708, -79.1266862133396 43.78216111955741, -79.11982231196438 43.79150332151143, -79.11479941064877 43.79481972232419))
319585802;Single Tier Municipality;CITY OF TORONTO;Islands;CITY OF;TORONTO;;MULTIPOLYGON (((-79.35248727243906 43.63372518307194, -79.35430527315943 43.63532578326914, -79.35299507263272 43.63408638311191, -79.35811717402795 43.63136678239686, -79.35629537323939 43.62900118206534, -79.3583894736766 43.62637088150608, -79.36578317560605 43.62148298030457, -79.37047457704708 43.62085407997688, -79.36993647673762 43.61928247972543, -79.37142067715028 43.61859107953517, -79.37660477879729 43.61852037928277, -79.37929427944322 43.61610627873382, -79.38118888011856 43.61691857878891, -79.37918457948756 43.61701077889791, -79.38164278049513 43.619560879232424, -79.38394308123479 43.61963077913821, -79.38469738134506 43.618146378842276, -79.38629848204651 43.620321679150585, -79.38925488304123 43.62091407911781, -79.3887919825721 43.61725017849512, -79.38460328115868 43.61636397853332, -79.38333588050219 43.61348667808609, -79.38647488157756 43.61433587809007, -79.39029648313327 43.61817877858869, -79.3884771834032 43.6278625803751, -79.38961918393186 43.62973588065143, -79.38740688329536 43.630521480892, -79.38804308362197 43.631930681110134, -79.39207708485422 43.631313580814776, -79.39486138594755 43.63365188109666, -79.40487208863007 43.62785037961319, -79.39384078442926 43.62006797875659, -79.39141428305659 43.613242677669085, -79.38399768057324 43.611890977774884, -79.36642627562415 43.6193505798999, -79.35452477272611 43.629588482250526, -79.34966657112031 43.62894828236281, -79.34935947120542 43.631035482743876, -79.35248727243906 43.63372518307194)), ((-79.38536758127613 43.61492457824488, -79.38553958141114 43.61583827839752, -79.38589728152681 43.61585667838424, -79.38608858153371 43.61524017826694, -79.38536758127613 43.61492457824488)), ((-79.37816847919187 43.61733387900178, -79.37762277911885 43.61848547922953, -79.37982767985339 43.618843379190324, -79.37866977935374 43.617356878982605, -79.37816847919187 43.61733387900178)), ((-79.3850609815653 43.61933477903442, -79.38474788151792 43.61993307915408, -79.38560028180012 43.62005107913533, -79.38569568178748 43.61956047904469, -79.3850609815653 43.61933477903442)), ((-79.36963317694563 43.622756680350314, -79.37166807751741 43.621876880101425, -79.366650375908 43.62177208031529, -79.36705827610481 43.62253318043019, -79.36963317694563 43.622756680350314)), ((-79.36428437524556 43.62282248060945, -79.36450857534706 43.623164780659266, -79.36552857564128 43.62281028054971, -79.36692577608227 43.62275798047584, -79.36583527563694 43.62164548033072, -79.36428437524556 43.62282248060945)), ((-79.36631147596013 43.623599080652156, -79.36589757577043 43.62294148055569, -79.36473887542765 43.62324608066288, -79.36505707555597 43.623552280701986, -79.36631147596013 43.623599080652156)), ((-79.37313397814059 43.62365178034556, -79.37647547918841 43.623448380155104, -79.37741237941343 43.622607779963964, -79.3721517776468 43.62159388002931, -79.37313397814059 43.62365178034556)), ((-79.36692277608618 43.62281348048572, -79.36651567602644 43.62361268064509, -79.36798327652899 43.6240058806463, -79.36755127634025 43.62342478056411, -79.36692277608618 43.62281348048572)), ((-79.3677184763944 43.62343408055799, -79.37046787735794 43.62442268060453, -79.37128817755173 43.62364968043068, -79.36797977643393 43.62293468045812, -79.3677184763944 43.62343408055799)), ((-79.36424677541939 43.62494168098373, -79.36559817575943 43.623904180738805, -79.36297127489291 43.62357678080283, -79.36297427498546 43.62462118098632, -79.36424677541939 43.62494168098373)), ((-79.38248858129849 43.62564228026229, -79.38402608171629 43.62481558004578, -79.38323318129784 43.622929079750875, -79.38206648099005 43.62366137993363, -79.3826471810276 43.62197887961101, -79.38098528056739 43.62277377982767, -79.38224258080885 43.62095667945004, -79.37040907690735 43.61949907974169, -79.3719238775315 43.62110757995433, -79.37671647909349 43.62149097979986, -79.37941658018467 43.62411318013576, -79.38323578137016 43.623743579893926, -79.38243308125948 43.62539898022209, -79.3812842808144 43.62450218011769, -79.38248858129849 43.62564228026229)), ((-79.3832585811874 43.62157867951237, -79.38458568198807 43.625879080206765, -79.3864518827437 43.627707580441694, -79.38773968299759 43.625921780068175, -79.38640518216903 43.62133007932288, -79.3832585811874 43.62157867951237)), ((-79.41466929190948 43.629619879469935, -79.41586789227784 43.62946277938672, -79.4165031923995 43.628542179195534, -79.41456329174169 43.62809527920698, -79.41466929190948 43.629619879469935)), ((-79.35787667383512 43.630042782175266, -79.35951847431788 43.629576782017345, -79.36303977507663 43.625422381124125, -79.35909537389274 43.62626818145535, -79.35787667383512 43.630042782175266)))
319585748;Single Tier Municipality;CITY OF TORONTO;Water;CITY OF;TORONTO;;POLYGON ((-79.00344005123046 43.52090297921865, -79.11479941064877 43.79481972232419, -79.11982231196438 43.79150332151143, -79.1266862133396 43.78216111955741, -79.15253461960418 43.75935721436708, -79.17560772649658 43.75383531233428, -79.18891233011892 43.74665311046049, -79.2023490334555 43.73574330792643, -79.20745583494923 43.73416770741421, -79.22415883884935 43.71779980377083, -79.22662383925064 43.713399802884766, -79.22499393852617 43.71107820255249, -79.22606783853735 43.70729560183888, -79.22807393926871 43.70832660192725, -79.22643913909562 43.712305502701156, -79.22938004005988 43.71258720261485, -79.23043054024316 43.710852402261814, -79.22722063928342 43.711601002541435, -79.22780683928406 43.70947360214094, -79.22955603983412 43.709374102042716, -79.228400639415 43.708804301996, -79.22967653972889 43.70773630174962, -79.23179684047183 43.70848400178295, -79.23009094006595 43.71006860213988, -79.23127824049047 43.710584402175606, -79.2334404409202 43.707610001553654, -79.22962763955051 43.70588180142635, -79.22860213935584 43.70739640173958, -79.22756333902454 43.70740280178863, -79.22900163924898 43.70472370125193, -79.23319574063618 43.70526480115323, -79.23264224058569 43.70670400143144, -79.23378674096887 43.70690420141373, -79.23651204152208 43.703287500653, -79.23561644105851 43.70126480033924, -79.23912224224816 43.702060500316996, -79.23676154167961 43.70417480079724, -79.23749054198964 43.705054200917914, -79.23970064258191 43.70375850058842, -79.23901474235082 43.7036219005961, -79.2381327420156 43.703012200529805, -79.24010394268832 43.703502900524924, -79.25563774690657 43.69503539832077, -79.2776254519153 43.6720999932768, -79.3064163603099 43.663029490352585, -79.30764236047949 43.66050228985188, -79.30499095958905 43.65999798988589, -79.30599035976759 43.65839758955846, -79.30493695928045 43.656676589304794, -79.30759866008852 43.65620408909873, -79.30847036018558 43.65413958869564, -79.3112627612189 43.65576008885129, -79.306892859959 43.65729628932327, -79.31031616114917 43.65840928936051, -79.31038996102271 43.65669908905662, -79.31241296167612 43.6567878889787, -79.31184216168975 43.659019689397205, -79.31437956266772 43.66093638961659, -79.31330546238443 43.66161418978533, -79.3178961638012 43.66106358947628, -79.31310746199817 43.657932489147676, -79.31440016236552 43.65741688899732, -79.3162444629713 43.65761348894656, -79.31679296312156 43.65733068887152, -79.31601986277444 43.65618628870617, -79.32014156344792 43.64887018723003, -79.31956746302028 43.646082686766704, -79.32308966319572 43.63526448470234, -79.32140026249232 43.6333888844507, -79.32282516271688 43.630763483923246, -79.32348076173535 43.61716858150229, -79.32710706293896 43.61770438142895, -79.325027262427 43.61943418182928, -79.32545046278632 43.621995682260206, -79.32879966382049 43.62160468203665, -79.32722146310059 43.61913298167494, -79.33206466475207 43.62034978166505, -79.33564516581832 43.61948388134723, -79.33527416583622 43.62103858163776, -79.33692686639313 43.621378381621106, -79.33769266645136 43.61925468121221, -79.34148196757964 43.61833738087574, -79.34339516772407 43.613020179852164, -79.3446623685577 43.61792228065565, -79.34335236835355 43.62036078114503, -79.34491756896735 43.62166768130249, -79.34306266840616 43.62201558144939, -79.34180556777673 43.619408881049154, -79.33973466727528 43.621224281464215, -79.34323176858406 43.62343018169033, -79.34105936799338 43.624597181996, -79.33897886711499 43.62214608166121, -79.33754666670882 43.622724581829175, -79.33672536666045 43.62516268229585, -79.33996946804487 43.62915118284706, -79.33942976789191 43.62937018291052, -79.33496176629765 43.62744208277815, -79.33484336606895 43.62526348240059, -79.33127666497874 43.62580658266102, -79.33301026522491 43.62230398196497, -79.32441366251534 43.622678082428166, -79.32401196265009 43.62567948297451, -79.32729606383506 43.62724628309818, -79.32382036265676 43.62645338311942, -79.32363026287328 43.6296170836845, -79.32568986351997 43.629498783568486, -79.3235689629393 43.630593483858995, -79.32301856300894 43.63339228437649, -79.33086186487365 43.62611718273479, -79.33184616523988 43.62671298279402, -79.32867226459173 43.630871483671925, -79.33661246700271 43.6294787830599, -79.32966846509746 43.633015184002744, -79.32656646400015 43.631786683930194, -79.32605946418384 43.635728384646555, -79.32294646341549 43.638293385241376, -79.32165566357722 43.64483528645091, -79.32429476445282 43.64521758639607, -79.32626956469639 43.64080998553011, -79.32468426412683 43.64008278547556, -79.32667976479536 43.64044598544712, -79.32944796538408 43.637087384728794, -79.33101436602387 43.63868428493701, -79.3274958651434 43.64144548558508, -79.32708136514704 43.642995285876594, -79.32867596573274 43.64387208595695, -79.32531416481682 43.645659586426596, -79.32987486655996 43.648941886792414, -79.32862466602755 43.64742038658292, -79.3374110681988 43.64021418491002, -79.33496366738846 43.639877484964046, -79.34084876918344 43.63893638452642, -79.34708637066365 43.633125383216466, -79.35331587309132 43.63814708381077, -79.32535276552761 43.6536209878238, -79.3301413669337 43.65223198735819, -79.33150806751183 43.65385038757929, -79.33504956850771 43.65232218714693, -79.3337055679358 43.65069128692257, -79.35406097341384 43.6391134839461, -79.35620777432815 43.641728284306225, -79.3524935733387 43.64395448486934, -79.35657877448679 43.64218688436964, -79.35814137514548 43.64401198461801, -79.3540034739823 43.64579928512359, -79.35668107484004 43.64583928500669, -79.35441627428779 43.647778085452174, -79.35940017568632 43.64559858483849, -79.36072347625134 43.64722558506305, -79.36017547590852 43.64531218475228, -79.36741407798003 43.64260688394174, -79.36910167860425 43.64358558403555, -79.36823887821473 43.64228378384676, -79.37350467972377 43.64034098326152, -79.37516458036247 43.64158498340319, -79.37419747992817 43.640152783196335, -79.37878518123453 43.63836618266989, -79.38023808181511 43.63970008283699, -79.37954818145268 43.6380788825841, -79.38364668272702 43.6377052823286, -79.38420938303146 43.6391280825525, -79.38437438295209 43.63762508228078, -79.38752138403198 43.63849248228736, -79.38708578379455 43.63737118211049, -79.39508598627937 43.63661368160663, -79.39443748597641 43.63551948144448, -79.39288468554875 43.63628778165145, -79.3918088852079 43.6363134817058, -79.39493008611578 43.63531748138615, -79.39693018685261 43.63644438149143, -79.39545398622914 43.63470578125436, -79.40229228808488 43.631007980287656, -79.40026938760734 43.6329143807164, -79.4015619881311 43.63418448087966, -79.40857839026934 43.63305628035614, -79.41084079050165 43.62749057927332, -79.41556119195327 43.62688227894755, -79.41616819225521 43.62811597913619, -79.41860789291414 43.62676277878528, -79.41499139173044 43.62641377889164, -79.41819499275958 43.62650167875851, -79.42235919417251 43.627472078735934, -79.4224575943432 43.62905657900975, -79.4195995934559 43.62932887919017, -79.41867949297732 43.627221978862636, -79.41598059220843 43.62826427917093, -79.41448849168472 43.62771857914424, -79.41375519156163 43.62897817939956, -79.41425549181453 43.63004057956305, -79.41198629103428 43.62939537955491, -79.41035839066387 43.63108717992764, -79.41865629316457 43.6294363792528, -79.42773749608932 43.62977107889038, -79.44765940303245 43.63649707914727, -79.45736670618923 43.637203178820485, -79.46810610932289 43.63391347774383, -79.47081090990041 43.63068147705055, -79.47661831156678 43.62858547641259, -79.47596781121675 43.62696487615815, -79.47870661165535 43.6220325751645, -79.47570391082591 43.62348117555849, -79.47378621013507 43.62257627548864, -79.47199910981112 43.62536637606177, -79.47042850930102 43.6252579761157, -79.46917630866578 43.62257527570261, -79.4732127099079 43.62207217542674, -79.47487161014233 43.61872847476223, -79.47751791123808 43.62159597514303, -79.48155101254409 43.62183067499689, -79.47660951074333 43.61926447477567, -79.47831241116877 43.61793227446248, -79.47494611008527 43.61781027459746, -79.47698241042843 43.61433607389242, -79.47859271093411 43.61425097380268, -79.4790382108769 43.61198727338422, -79.48077611155786 43.613432173557406, -79.48304671218916 43.61238407326777, -79.48415261261566 43.61322567336426, -79.48329931247801 43.614751273671935, -79.48049751152455 43.614062373681065, -79.4788216112582 43.6171043742934, -79.48162121229343 43.618729774448894, -79.48437001309694 43.61790627417647, -79.48765691371372 43.61301467316434, -79.48651021305675 43.609701372635435, -79.49256581432186 43.60215037102716, -79.49651251552778 43.60156537074097, -79.5008927163464 43.595007969384895, -79.51069721935157 43.59366556869331, -79.50965491890923 43.592411668521365, -79.51084661916963 43.591056468227784, -79.50866061841593 43.59040426821473, -79.510393418847 43.589029967892614, -79.50925541833489 43.58732816764629, -79.51399971983008 43.58714686739399, -79.51731012100149 43.58847686747393, -79.51217531932028 43.587957167621184, -79.5117399194086 43.59053806809511, -79.51563042067389 43.59083386796627, -79.51488862027475 43.588983067675414, -79.51641922075378 43.58888606758724, -79.51868342163749 43.59073376780678, -79.52751942435086 43.58958576719417, -79.52968692489456 43.58791996680058, -79.53693592721811 43.58808866649313, -79.54157682835569 43.58422156559756, -79.41785747084073 43.37643633467712, -79.00344005123046 43.52090297921865), (-79.41466929190948 43.629619879469935, -79.41456329174169 43.62809527920698, -79.4165031923995 43.628542179195534, -79.41586789227784 43.62946277938672, -79.41466929190948 43.629619879469935), (-79.37816847919187 43.61733387900178, -79.37866977935374 43.617356878982605, -79.37982767985339 43.618843379190324, -79.37762277911885 43.61848547922953, -79.37816847919187 43.61733387900178), (-79.38536758127613 43.61492457824488, -79.38608858153371 43.61524017826694, -79.38589728152681 43.61585667838424, -79.38553958141114 43.61583827839752, -79.38536758127613 43.61492457824488), (-79.3832585811874 43.62157867951237, -79.38640518216903 43.62133007932288, -79.38773968299759 43.625921780068175, -79.3864518827437 43.627707580441694, -79.3832585811874 43.62157867951237), (-79.3850609815653 43.61933477903442, -79.38569568178748 43.61956047904469, -79.38560028180012 43.62005107913533, -79.38474788151792 43.61993307915408, -79.3850609815653 43.61933477903442), (-79.38248858129849 43.62564228026229, -79.38132358091701 43.62552828029623, -79.3812842808144 43.62450218011769, -79.38243308125948 43.62539898022209, -79.38323578137016 43.623743579893926, -79.37941658018467 43.62411318013576, -79.37671647909349 43.62149097979986, -79.3719238775315 43.62110757995433, -79.37040907690735 43.61949907974169, -79.38224258080885 43.62095667945004, -79.38098528056739 43.62277377982767, -79.3826471810276 43.62197887961101, -79.38206648099005 43.62366137993363, -79.38323318129784 43.622929079750875, -79.38402608171629 43.62481558004578, -79.38248858129849 43.62564228026229), (-79.36631147596013 43.623599080652156, -79.36505707555597 43.623552280701986, -79.36473887542765 43.62324608066288, -79.36589757577043 43.62294148055569, -79.36631147596013 43.623599080652156), (-79.36692277608618 43.62281348048572, -79.36755127634025 43.62342478056411, -79.36798327652899 43.6240058806463, -79.36651567602644 43.62361268064509, -79.36692277608618 43.62281348048572), (-79.3677184763944 43.62343408055799, -79.36797977643393 43.62293468045812, -79.37128817755173 43.62364968043068, -79.37046787735794 43.62442268060453, -79.3677184763944 43.62343408055799), (-79.37313397814059 43.62365178034556, -79.3721517776468 43.62159388002931, -79.37741237941343 43.622607779963964, -79.37647547918841 43.623448380155104, -79.37313397814059 43.62365178034556), (-79.36963317694563 43.622756680350314, -79.36705827610481 43.62253318043019, -79.366650375908 43.62177208031529, -79.37166807751741 43.621876880101425, -79.36963317694563 43.622756680350314), (-79.36428437524556 43.62282248060945, -79.36583527563694 43.62164548033072, -79.36692577608227 43.62275798047584, -79.36450857534706 43.623164780659266, -79.36428437524556 43.62282248060945), (-79.36424677541939 43.62494168098373, -79.36297427498546 43.62462118098632, -79.36297127489291 43.62357678080283, -79.36559817575943 43.623904180738805, -79.36424677541939 43.62494168098373), (-79.35787667383512 43.630042782175266, -79.35909537389274 43.62626818145535, -79.36303977507663 43.625422381124125, -79.35951847431788 43.629576782017345, -79.35787667383512 43.630042782175266), (-79.35248727243906 43.63372518307194, -79.34935947120542 43.631035482743876, -79.34966657112031 43.62894828236281, -79.35452477272611 43.629588482250526, -79.36642627562415 43.6193505798999, -79.38399768057324 43.611890977774884, -79.39141428305659 43.613242677669085, -79.39384078442926 43.62006797875659, -79.40487208863007 43.62785037961319, -79.39486138594755 43.63365188109666, -79.39207708485422 43.631313580814776, -79.38804308362197 43.631930681110134, -79.38740688329536 43.630521480892, -79.38961918393186 43.62973588065143, -79.3884771834032 43.6278625803751, -79.39029648313327 43.61817877858869, -79.38647488157756 43.61433587809007, -79.38333588050219 43.61348667808609, -79.38460328115868 43.61636397853332, -79.3887919825721 43.61725017849512, -79.38925488304123 43.62091407911781, -79.38629848204651 43.620321679150585, -79.38469738134506 43.618146378842276, -79.38394308123479 43.61963077913821, -79.38164278049513 43.619560879232424, -79.37918457948756 43.61701077889791, -79.38118888011856 43.61691857878891, -79.37929427944322 43.61610627873382, -79.37660477879729 43.61852037928277, -79.37142067715028 43.61859107953517, -79.36993647673762 43.61928247972543, -79.37047457704708 43.62085407997688, -79.36578317560605 43.62148298030457, -79.3583894736766 43.62637088150608, -79.35629537323939 43.62900118206534, -79.35811717402795 43.63136678239686, -79.35299507263272 43.63408638311191, -79.35430527315943 43.63532578326914, -79.35248727243906 43.63372518307194))
