ogfId;municipalType;municipalName;municipalAreaExtentType;municipalNamePrefix;municipalNameShortform;upperTierMunicipality;geometry
319585644;Lower Tier Municipality;CITY OF VAUGHAN;Mainland;CITY OF;VAUGHAN;REGIONAL MUNICIPALITY OF YORK;POLYGON ((-79.4287925145521 43.834642514730795, -79.4544928222825 43.829270412593175, -79.47782363822171 43.924220528062754, -79.71074950812054 43.87444130844843, -79.69773910195423 43.85204010515962, -79.69495060088573 43.85004840494392, -79.69576410102432 43.84870440467138, -79.63930457416879 43.74984489006835, -79.42011140852456 43.79803520873777, -79.4287925145521 43.834642514730795))
319586224;Lower Tier Municipality;TOWN OF NEWMARKET;Mainland;TOWN OF;NEWMARKET;REGIONAL MUNICIPALITY OF YORK;POLYGON ((-79.42112673303487 44.06817315574501, -79.42185463361194 44.07198385637197, -79.42040723317754 44.07230565649579, -79.42328293508898 44.083273858263354, -79.50984306101219 44.06354505077313, -79.49936575335688 44.01592244300086, -79.41223692723446 44.0354036504731, -79.42112673303487 44.06817315574501))
319585945;Lower Tier Municipality;TOWN OF AURORA;Mainland;TOWN OF;AURORA;REGIONAL MUNICIPALITY OF YORK;POLYGON ((-79.39347521603081 43.97754774129366, -79.39718231889765 43.99627564437801, -79.4059477227349 44.00776514596531, -79.41223692723446 44.0354036504731, -79.49936575335688 44.01592244300086, -79.48559824366056 43.95712753342663, -79.39347521603081 43.97754774129366))
319585845;Lower Tier Municipality;CITY OF MARKHAM;Mainland;CITY OF;MARKHAM;REGIONAL MUNICIPALITY OF YORK;POLYGON ((-79.170274133742 43.85545613037791, -79.21743945834369 43.96257754689307, -79.25365846930126 43.95539414395724, -79.39032111012783 43.92288633192247, -79.3714957973409 43.84696051955302, -79.4287925145521 43.834642514730795, -79.42011140852456 43.79803520873777, -79.170274133742 43.85545613037791))
319585895;Lower Tier Municipality;CITY OF RICHMOND HILL;Mainland;CITY OF;RICHMOND HILL;REGIONAL MUNICIPALITY OF YORK;POLYGON ((-79.39032111012783 43.92288633192247, -79.39013231148792 43.938770734698934, -79.39345111404668 43.95549623745665, -79.39347521603081 43.97754774129366, -79.48559824366056 43.95712753342663, -79.4544928222825 43.829270412593175, -79.3714957973409 43.84696051955302, -79.39032111012783 43.92288633192247))
319585668;Lower Tier Municipality;TOWNSHIP OF KING;Mainland;TOWNSHIP OF;KING;REGIONAL MUNICIPALITY OF YORK;POLYGON ((-79.50984306101219 44.06354505077313, -79.53172957592679 44.15066276482981, -79.54091987850303 44.146639463700076, -79.5455281790956 44.13694316180509, -79.54620737893563 44.13279686105565, -79.54382657773988 44.128030760343236, -79.54655027846869 44.126458359942596, -79.5432848771715 44.123688859617346, -79.54326257684632 44.12019075901291, -79.54569607736036 44.11727785839382, -79.54685587663678 44.10523275625362, -79.54838127661921 44.09966565521754, -79.5506706772048 44.09804705482917, -79.55034947686129 44.095395954385154, -79.55614837856896 44.093767853829604, -79.55739167863912 44.09015975314594, -79.55741487840541 44.08750405268478, -79.55324137699459 44.08667255273755, -79.55673517769108 44.082030451768446, -79.55686557716474 44.07577035067752, -79.56026067818735 44.075070350396125, -79.56059627812277 44.073174950051786, -79.56768378026408 44.07178754947708, -79.56857628020833 44.06802624878307, -79.57168948113583 44.06727304850566, -79.57246098116832 44.0649110480599, -79.58400008432957 44.05907634650413, -79.58583048460015 44.05560584581614, -79.59220278647439 44.05380284520294, -79.59286018650889 44.05186614483616, -79.59555398742884 44.05251154482095, -79.59510558713794 44.05088554456019, -79.5987423880444 44.04805814389837, -79.60560549034523 44.04923154377791, -79.61559969331633 44.04676004287762, -79.6122656920605 44.044666842672086, -79.61412669260281 44.044086242483615, -79.61513869267914 44.04136134196329, -79.61233099168206 44.04026494190571, -79.61478019221134 44.037467641305, -79.6122952911791 44.034844540967335, -79.6150733917943 44.03183504031425, -79.6179973928122 44.03275274033543, -79.61990739298157 44.02788693940128, -79.62339949415461 44.028514239345284, -79.62448019422537 44.02548413876868, -79.62965209595342 44.026311638668105, -79.63011889588594 44.0239223382316, -79.63280739682081 44.024755738249205, -79.63345949686826 44.022980937910596, -79.6364763977941 44.022557737694726, -79.63690809775453 44.02060013733473, -79.64442910036705 44.02290433737934, -79.64768220127213 44.02142143696844, -79.64612240052541 44.01868403656723, -79.64953770150959 44.017501836200886, -79.77543173918855 43.98965732541437, -79.71074950812054 43.87444130844843, -79.47782363822171 43.924220528062754, -79.50984306101219 44.06354505077313))
