ogfId;municipalType;municipalName;municipalAreaExtentType;municipalNamePrefix;municipalNameShortform;upperTierMunicipality;geometry
319585997;Lower Tier Municipality;TOWN OF PELHAM;Mainland;TOWN OF;PELHAM;REGIONAL MUNICIPALITY OF NIAGARA;POLYGON ((-79.26742949317102 43.026804079347336, -79.26787579561916 43.05413218421384, -79.27328049715616 43.05201618359006, -79.27919339909543 43.05275368345318, -79.28263400032166 43.054340683580506, -79.28575880172289 43.059182484303776, -79.28716370635799 43.10865399307441, -79.39018463879391 43.1054768878096, -79.38626132742965 42.98610066666315, -79.38170742590704 42.98516666670329, -79.3795113246606 42.978649365636855, -79.36616442017443 42.975629065703416, -79.36147711810045 42.96865686466828, -79.3587736171584 42.96764886461074, -79.34547321304133 42.968832965427254, -79.3433404125063 42.97050826582415, -79.34227511256483 42.975211166714644, -79.33980961184147 42.97590476695089, -79.33395990989655 42.974836467025355, -79.32580510691797 42.97017466656092, -79.31300910303699 42.97227486751805, -79.29515469684274 42.96595416719604, -79.29148759568602 42.96602926737582, -79.29066659975229 43.01740287661044, -79.28017249643064 43.01750157710464, -79.2803479972739 43.02683927876712, -79.26742949317102 43.026804079347336))
319586242;Lower Tier Municipality;CITY OF ST. CATHARINES;Mainland;CITY OF;ST. CATHARINES;REGIONAL MUNICIPALITY OF NIAGARA;POLYGON ((-79.20240498948579 43.22710701804364, -79.20880159142365 43.225971417550205, -79.21301779291187 43.22769881766557, -79.21324749317739 43.22995791805712, -79.21145059267445 43.230762918282245, -79.2132506931892 43.2300840180794, -79.21314889328977 43.2316448183618, -79.21080539248369 43.230932718341826, -79.2130219934599 43.23411451880697, -79.21317539365432 43.235823219104056, -79.21130829312202 43.23654571931766, -79.21226099388579 43.24195012023567, -79.20738219254073 43.244377020889715, -79.21363799444588 43.24338072042739, -79.21759859583429 43.2448877205149, -79.2197287962686 43.242035019910396, -79.22083659525907 43.226060317017776, -79.22835139712839 43.21995031558792, -79.25513140454039 43.207003812062794, -79.2624685068341 43.206548211647124, -79.2635805075802 43.21115301241604, -79.26255490652906 43.2026462109486, -79.26422520675413 43.19905611023329, -79.26581600726071 43.199066810162684, -79.26382340709394 43.20454281122838, -79.2642650077384 43.210456412260804, -79.26396750719671 43.20521121134078, -79.29258271548231 43.19571030834391, -79.3066122192614 43.187742906285116, -79.32078092327015 43.181958104608185, -79.31924032231271 43.1764694037012, -79.3204533225653 43.17491160336839, -79.31790502157716 43.17281670311168, -79.3193243218967 43.17127520277237, -79.31484551993582 43.1649601018519, -79.31686702021169 43.16065870099336, -79.31527301972518 43.160891901107675, -79.31571541962207 43.1580304005776, -79.3134721188311 43.15711040051608, -79.31627261937778 43.15308169967039, -79.31440301840797 43.14866419896844, -79.31652391881964 43.14558449832281, -79.31454001823448 43.14611359850759, -79.31099281681693 43.14269349805979, -79.31325091731483 43.14011539749723, -79.31173371675568 43.13920609740434, -79.31038471366745 43.10789519188144, -79.27464050239308 43.108799393670346, -79.2746496022155 43.10667039328994, -79.17783387431142 43.14041120371142, -79.17819237522667 43.14987410538336, -79.19215977924884 43.14494110386906, -79.19248507943676 43.14593840403219, -79.19642968366163 43.18096521009813, -79.2005529858439 43.191220811737956, -79.20240498948579 43.22710701804364))
319586126;Lower Tier Municipality;TOWN OF NIAGARA-ON-THE-LAKE;Mainland;TOWN OF;NIAGARA-ON-THE-LAKE;REGIONAL MUNICIPALITY OF NIAGARA;POLYGON ((-79.0433676321822 43.14792401114313, -79.04759533471717 43.16203051347038, -79.05245753657645 43.16572861391049, -79.05711383861836 43.172363014883715, -79.0559869388317 43.17913341614258, -79.05785213987086 43.184405916998635, -79.05213183934823 43.199755819994905, -79.05995104260505 43.20883032125849, -79.05988754312378 43.21519542239579, -79.05699334296786 43.22423182413706, -79.06000004497972 43.23667302621699, -79.05821104564042 43.251175728880504, -79.06126504694518 43.25509032943891, -79.06278424735244 43.2541887292095, -79.06339364769573 43.25594602949467, -79.06148964704153 43.25538232948071, -79.06365414787305 43.25705782968074, -79.0693108497682 43.2581620296207, -79.07639635236137 43.26212783000489, -79.08549055528509 43.2624559296505, -79.11518556422348 43.25638812722197, -79.13113896944257 43.25804112679097, -79.13867847163485 43.255602226014226, -79.1881454852804 43.230990219384026, -79.20240498948579 43.22710701804364, -79.2005529858439 43.191220811737956, -79.19642968366163 43.18096521009813, -79.19215977924884 43.14494110386906, -79.17819237522667 43.14987410538336, -79.17783387431142 43.14041120371142, -79.15696216829865 43.1477682059713, -79.1568323680242 43.1450121054854, -79.0433676321822 43.14792401114313))
