ogfId;municipalType;municipalName;municipalAreaExtentType;municipalNamePrefix;municipalNameShortform;upperTierMunicipality;geometry
319585731;Lower Tier Municipality;TOWN OF ERIN;Mainland;TOWN OF;ERIN;COUNTY OF WELLINGTON;POLYGON ((-79.9690444777742 43.734439571837775, -80.13976664360281 43.86155148583767, -80.26122207224456 43.75243316105963, -80.08578330538785 43.62910514790472, -79.9690444777742 43.734439571837775))
319586278;Lower Tier Municipality;TOWNSHIP OF PUSLINCH;Mainland;TOWNSHIP OF;PUSLINCH;COUNTY OF WELLINGTON;POLYGON ((-80.1611422232313 43.56155073250879, -80.16966902648649 43.56769053317902, -80.1886667312555 43.5537170298304, -80.18567293000277 43.55033512938034, -80.20337573443213 43.5371612262324, -80.15350481534446 43.50052752217622, -80.18915692425583 43.47383021580297, -80.20134822890485 43.48263281676963, -80.22694513663069 43.4783586148056, -80.23339064025981 43.496087317608904, -80.24361364336502 43.494603016863145, -80.24632684475533 43.500525917772606, -80.25349524696496 43.49984611731282, -80.254393347672 43.504557018095795, -80.30275535977201 43.46872110951383, -80.26939134190688 43.38697429674327, -80.07858698426323 43.4181162112397, -80.08383388743421 43.43510601398033, -80.03385337475318 43.47070652259478, -80.1611422232313 43.56155073250879))
319585800;Lower Tier Municipality;TOWNSHIP OF CENTRE WELLINGTON;Mainland;TOWNSHIP OF;CENTRE WELLINGTON;COUNTY OF WELLINGTON;POLYGON ((-80.2510965698504 43.76144116311166, -80.3879194221144 43.857743873264354, -80.45733313851736 43.79658455931013, -80.46988894130959 43.78363725645729, -80.44941903347151 43.76897165489747, -80.49344354446374 43.73664664715948, -80.48980334306948 43.734022946878916, -80.4986855452891 43.72752864532193, -80.49516314394083 43.724996945051565, -80.50080764582006 43.72598454495117, -80.50755344749062 43.72088944374019, -80.51123024889873 43.723541344024, -80.55752876045491 43.68961533589149, -80.4100420040463 43.58308782441119, -80.35532819035157 43.62322173403725, -80.3486708878009 43.61835593350632, -80.29698867476822 43.655323842428686, -80.29109157302153 43.65668464294787, -80.28719017207729 43.6599171436982, -80.28620227169245 43.65912774360771, -80.2814902705814 43.663356744570585, -80.28679827260346 43.667090844968236, -80.28104267125484 43.67234904616036, -80.28214517167743 43.67315254624783, -80.22300995765163 43.72537005817464, -80.26122207224456 43.75243316105963, -80.2510965698504 43.76144116311166))
